,Study ID,first author,booster vaccine,reference group,VE,LCL,UCL,timing_of_dose_days,population_category,outcome_category,time_sup,time_inf
2,2,Patalon,Pfizer,complete vaccination with 2 doses,85.0,83.0,86.0,17,≥ 40 years,infection,20,14
3,2,Patalon,Pfizer,complete vaccination with 2 doses,86.0,85.0,87.0,46,≥ 40 years,infection,65,28
4,2,Patalon,Pfizer,complete vaccination with 2 doses,87.0,85.0,87.0,17,≥ 40 years,infection,20,14
5,2,Patalon,Pfizer,complete vaccination with 2 doses,83.0,82.0,85.0,46,≥ 40 years,infection,65,28
6,2,Patalon,Pfizer,complete vaccination with 2 doses,92.0,87.0,95.0,17,≥ 40 years,severe,20,14
7,2,Patalon,Pfizer,complete vaccination with 2 doses,97.0,95.0,98.0,46,≥ 40 years,severe,65,28
42,11,Andrews,Pfizer,unvaccinated individuals,68.7,67.9,69.5,21,general pop,symptomatic,28,14
44,11,Andrews,Moderna,unvaccinated individuals,74.7,73.7,75.7,21,general pop,symptomatic,28,14
45,11,Andrews,Moderna,unvaccinated individuals,65.3,63.1,67.4,49,general pop,symptomatic,63,35
46,11,Andrews,Pfizer,unvaccinated individuals,62.7,62.0,63.4,21,general pop,symptomatic,28,14
48,11,Andrews,Moderna,unvaccinated individuals,70.3,69.5,71.0,21,general pop,symptomatic,28,14
49,11,Andrews,Moderna,unvaccinated individuals,61.6,60.0,63.1,49,general pop,symptomatic,63,35
50,11,Andrews,Pfizer,unvaccinated individuals,67.0,63.0,70.0,21,general pop,symptomatic,28,14
51,11,Andrews,Moderna,unvaccinated individuals,68.0,64.0,72.0,21,general pop,symptomatic,28,14
52,11,Andrews,Pfizer,unvaccinated individuals,95.2,94.9,95.5,21,general pop,symptomatic,28,14
54,11,Andrews,Moderna,unvaccinated individuals,96.8,96.2,97.3,21,general pop,symptomatic,28,14
55,11,Andrews,Moderna,unvaccinated individuals,94.7,92.7,96.2,49,general pop,symptomatic,63,35
56,11,Andrews,Pfizer,unvaccinated individuals,95.4,95.2,95.7,21,general pop,symptomatic,28,14
58,11,Andrews,Moderna,unvaccinated individuals,97.1,96.8,97.4,21,general pop,symptomatic,28,14
59,11,Andrews,Moderna,unvaccinated individuals,94.9,93.6,95.9,49,general pop,symptomatic,63,35
60,11,Andrews,Pfizer,unvaccinated individuals,97.3,91.5,99.1,21,general pop,symptomatic,28,14
61,11,Andrews,Moderna,unvaccinated individuals,95.8,88.8,98.4,21,general pop,symptomatic,28,14
72,14,Hansen,Pfizer,complete vaccination with 2 doses in 60+ year olds,54.6,30.4,70.4,15,≥ 60 years,infection,30,1
73,14,Hansen,Pfizer,complete vaccination with 2 doses in 60+ year olds,81.2,79.2,82.9,15,≥ 60 years,infection,30,1
74,14,Hansen,Moderna,complete vaccination with 2 doses in 60+ year olds,82.8,58.8,92.9,15,≥ 60 years,infection,30,1
78,17,Gray,Janssen,unvaccinated individuals,84.0,67.0,92.0,20,HCW,severe,27,14
79,17,Gray,Janssen,unvaccinated individuals,85.0,54.0,95.0,45,HCW,severe,60,30
80,17,Gray,Janssen,unvaccinated individuals,69.0,26.0,87.0,20,HCW,severe,27,14
81,17,Gray,Janssen,unvaccinated individuals,82.0,57.0,93.0,57,HCW,severe,87,28
101,20,Tseng,Moderna,unvaccinated individuals,71.6,69.7,73.4,37,general pop,infection,60,14
106,20,Tseng,Moderna,unvaccinated individuals,93.7,92.2,94.9,37,general pop,infection,60,14
199,37,Chemaitelly,Pfizer,unvaccinated individuals,90.9,78.6,96.1,24,general pop,severe,42,7
201,37,Chemaitelly,Moderna,unvaccinated individuals,81.8,-49.5,97.8,24,general pop,severe,42,7
203,38,Cerqueira-Silva,Pfizer,unvaccinated individuals,80.2,77.0,82.9,10,general pop,infection,13,7
205,38,Cerqueira-Silva,Pfizer,unvaccinated individuals,91.0,88.5,93.5,10,general pop,severe,13,7
207,38,Cerqueira-Silva,Pfizer,unvaccinated individuals,91.2,88.3,93.4,10,general pop,severe,13,7
209,38,Cerqueira-Silva,Pfizer,unvaccinated individuals,92.2,87.4,95.2,10,general pop,death,13,7
220,41,Regev-Yochay,Pfizer,complete vaccination with 3 doses of BNT162b2 (Pfizer) ≥4 months prior,30.0,-9.0,55.0,18,HCW,infection,29,8
221,41,Regev-Yochay,Pfizer,complete vaccination with 3 doses of BNT162b2 (Pfizer) ≥4 months prior,43.0,7.0,65.0,18,HCW,symptomatic,29,8
222,41,Regev-Yochay,Moderna,complete vaccination with 3 doses of BNT162b2 (Pfizer) ≥4 months prior,11.0,-43.0,43.0,15,HCW,infection,23,8
223,41,Regev-Yochay,Moderna,complete vaccination with 3 doses of BNT162b2 (Pfizer) ≥4 months prior,31.0,-18.0,60.0,15,HCW,symptomatic,23,8
224,42,Monge,Pfizer,complete vaccination with 2 doses (or 1 dose for Ad26.COV2.S) ≥3 months prior,49.7,48.3,51.1,20,≥ 40 years,infection,34,7
225,42,Monge,Pfizer,complete vaccination with 2 doses (or 1 dose for Ad26.COV2.S) ≥3 months prior,55.3,52.3,58.2,20,≥ 40 years,infection,34,7
226,42,Monge,Pfizer,complete vaccination with 2 doses (or 1 dose for Ad26.COV2.S) ≥3 months prior,58.6,55.5,61.6,20,≥ 40 years,infection,34,7
227,42,Monge,Pfizer,complete vaccination with 2 doses (or 1 dose for Ad26.COV2.S) ≥3 months prior,48.0,42.5,53.7,20,≥ 40 years,infection,34,7
228,43,Patalon,Pfizer,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥5 months prior,53.4,47.7,58.6,26,general pop,infection,51,1
229,43,Patalon,Pfizer,complete vaccination with 2 doses of BNT162b2 (Pfizer) ≥5 months prior,3.6,0.6,6.5,117,general pop,infection,142,93
230,44,Šmíd,Pfizer,unvaccinated individuals,58.0,58.0,59.0,44,general pop,infection,74,14
232,44,Šmíd,Pfizer,unvaccinated individuals,86.0,84.0,89.0,44,general pop,severe,74,14
234,44,Šmíd,Moderna,unvaccinated individuals,61.0,60.0,62.0,44,general pop,infection,74,14
236,44,Šmíd,Moderna,unvaccinated individuals,89.0,84.0,93.0,44,general pop,severe,74,14
238,44,Šmíd,Pfizer,unvaccinated individuals,90.0,90.0,91.0,44,general pop,infection,74,14
240,44,Šmíd,Pfizer,unvaccinated individuals,98.0,97.0,98.0,44,general pop,severe,74,14
