,study ID,vaccine,dose,VE,LCL,UCL,days_since_first_dose,population_category,outcome_category,variant_sequenced,time_sup,time_inf
0,1,Pfizer,1,75.0,72,84.0,28,HCW,infection,,28,28
1,1,Pfizer,1,85.0,71,92.0,28,HCW,symptomatic,,28,28
2,2,Pfizer,1,57.0,48,63.0,28,> 80 years,symptomatic,,28,28
3,2,Pfizer,final,88.0,84,90.0,7,> 80 years,symptomatic,,7,7
4,3,Pfizer,1,46.0,40,51.0,17,general pop,infection,,21,14
5,3,Pfizer,final,92.0,88,95.0,7,general pop,infection,,7,7
6,3,Pfizer,1,57.0,50,63.0,17,general pop,symptomatic,,21,14
7,3,Pfizer,final,94.0,87,98.0,7,general pop,symptomatic,,7,7
8,3,Pfizer,1,74.0,56,86.0,17,general pop,severe,,21,14
9,3,Pfizer,final,87.0,55,100.0,7,general pop,severe,,7,7
10,3,Pfizer,1,62.0,39,80.0,17,general pop,severe,,21,14
11,3,Pfizer,final,92.0,75,100.0,7,general pop,severe,,7,7
12,4,Pfizer,1,79.0,47,93.0,14, > 80 years,severe,,14,14
13,4,AZD1222 (AstraZeneca),1,80.0,36,95.0,14, > 80 years,severe,,14,14
14,5,Pfizer,1,21.0,-11,44.0,14,LTCF residents,infection,,14,14
15,5,Pfizer,final,64.0,14,84.0,7,LTCF residents,infection,,7,7
16,5,Pfizer,1,17.0,4,28.0,14,LTCF staff,infection,,14,14
17,5,Pfizer,final,90.0,82,95.0,7,LTCF staff,infection,,7,7
18,6,Pfizer,1,79.0,63,88.0,10,pre-surgical hospital patients,asymptomatic,,10,10
19,6,Pfizer,final,80.0,56,91.0,0,pre-surgical hospital patients,asymptomatic,,0,0
20,6,Pfizer,1,79.0,62,89.0,10,pre-surgical hospital patients,asymptomatic,,10,10
21,6,Pfizer,final,80.0,56,91.0,0,pre-surgical hospital patients,asymptomatic,,0,0
22,7,Pfizer,1,63.0,33,79.0,21,LTCF residents,infection,,21,21
23,7,Pfizer,1,60.0,30,77.0,21,LTCF residents,infection,,21,21
24,8,Pfizer,1,91.0,89,93.0,35,general pop,infection,,35,35
25,8,Pfizer,1,99.0,95,99.0,35,general pop,symptomatic,,35,35
26,9,Pfizer,1,58.0,49,65.0,28,> 70 years,symptomatic,,28,28
27,9,AZD1222 (AstraZeneca),1,58.0,38,72.0,35,> 70 years,symptomatic,,35,35
28,9,Pfizer,1,42.0,32,51.0,14,> 70 years,severe,,14,14
29,9,Pfizer,1,54.0,41,64.0,14,> 70 years,death,,14,14
30,9,AZD1222 (AstraZeneca),1,35.0,4,56.0,17,> 70 years,severe,,21,14
31,10,Pfizer,1,65.0,29,83.0,41,LTCF residents,infection,,48,35
32,10,AZD1222 (AstraZeneca),1,68.0,34,85.0,41,LTCF residents,infection,,48,35
33,11,Pfizer,1,80.0,59,90.0,14,HCW,infection,,14,14
