Study ID,first author,study design,publication date,primary series vaccine,booster vaccine,historyofCOVID ,reference group,timing_of_dose_days,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,notes,,,,
1,Bar-On,Retrospective cohort,07Oct2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,≥ 18 years,general pop,92.0,90.0,93.0,,delta,3 weeks,,,,,
1,Bar-On,Retrospective cohort,07Oct2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,12+,severe disease,severe,Israel,≥ 18 years,general pop,94.0,91.0,96.0,,delta,3 weeks,,,,,
2,Patalon,Test-negative case-control,30Nov2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,14-20,infection,infection,Israel,≥ 40 years,≥ 40 years,85.0,83.0,86.0,,delta,~7 weeks,,,,,
2,Patalon,Test-negative case-control,30Nov2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,28-65,infection,infection,Israel,≥ 40 years,≥ 40 years,86.0,85.0,87.0,,delta,~7 weeks,,,,,
2,Patalon,Matched case-control,30Nov2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,14-20,infection,infection,Israel,≥ 40 years,≥ 40 years,87.0,85.0,87.0,,delta,~7 weeks,,,,,
2,Patalon,Matched case-control,30Nov2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,28-65,infection,infection,Israel,≥ 40 years,≥ 40 years,83.0,82.0,85.0,,delta,~7 weeks,,,,,
2,Patalon,Matched case-control,30Nov2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,14-20,hospitalization,severe,Israel,≥ 40 years,≥ 40 years,92.0,87.0,95.0,,delta,~7 weeks,,,,,
2,Patalon,Matched case-control,30Nov2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,28-65,hospitalization,severe,Israel,≥ 40 years,≥ 40 years,97.0,95.0,98.0,,delta,~7 weeks,,,,,
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,16-29 years,16-29 years,94.2,93.6,94.9,,delta,~3.5 weeks,,,,,
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,30-39 years,30-39 years,88.6,87.8,89.5,,delta,~4.5 weeks,,,,,
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,40-49 years,40-49 years,89.7,89.1,90.4,,delta,5 weeks,,,,,
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,50-59 years,50-59 years,91.8,91.2,92.4,,delta,6 weeks,,,,,
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,12+,infection,infection,Israel,≥ 60 years,≥ 60 years,91.9,91.6,92.2,,delta,8 weeks,,,,,
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,12+,severe disease,severe,Israel,40-59 years,40-59 years,95.4,90.6,97.8,,delta,6 weeks,,,,,
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,12+,severe disease,severe,Israel,≥ 60 years,≥ 60 years,94.5,93.4,95.3,,delta,8 weeks,,,,,
3,Bar-On,Retrospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,12+,death,death,Israel,≥ 60 years,≥ 60 years,93.2,89.4,95.7,,delta,8 weeks,,,,,
4,Hardt,Randomized placebo control trial,31Jan2022,Ad26.COV2.S (Janssen),Janssen,unknown,complete vaccination with 1 dose,7+,infection,infection,"North America, South America, Africa, Asia, Europe",≥ 18 years,general pop,51.1,29.5,66.4,,"non-VOC, alpha, & delta",~8 weeks,,,,,
4,Hardt,Randomized placebo control trial,31Jan2022,Ad26.COV2.S (Janssen),Janssen,unknown,complete vaccination with 1 dose,7+,asymptomatic infection,asymptomatic,"North America, South America, Africa, Asia, Europe",≥ 18 years,general pop,34.2,-6.4,59.8,,"non-VOC, alpha, & delta",~8 weeks,,,,,
4,Hardt,Randomized placebo control trial,31Jan2022,Ad26.COV2.S (Janssen),Janssen,unknown,complete vaccination with 1 dose,7+,moderate symptomatic infection,symptomatic,"North America, South America, Africa, Asia, Europe",≥ 18 years,general pop,70.7,45.4,85.1,,"non-VOC, alpha, & delta",~8 weeks,,,,,
4,Hardt,Randomized placebo control trial,31Jan2022,Ad26.COV2.S (Janssen),Janssen,unknown,complete vaccination with 1 dose,7+,moderate and severe/critical infection,severe,"North America, South America, Africa, Asia, Europe",≥ 18 years,general pop,75.2,54.5,87.3,,"non-VOC, alpha, & delta",~8 weeks,,,,,
4,Hardt,Randomized placebo control trial,31Jan2022,Ad26.COV2.S (Janssen),Janssen,unknown,complete vaccination with 1 dose,7+,infection,infection,"North America, South America, Africa, Asia, Europe",≥ 18 years,general pop,94.2,62.9,99.9,,alpha,~8 weeks,,,,,
4,Hardt,Randomized placebo control trial,31Jan2022,Ad26.COV2.S (Janssen),Janssen,unknown,complete vaccination with 1 dose,7+,infection,infection,"North America, South America, Africa, Asia, Europe",≥ 18 years,general pop,63.1,-27.9,91.6,,mu,~8 weeks,,,,,
5,Saciuk,Retrospective cohort,02Nov2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses,7+,infection,infection,Israel,≥ 18 years,general pop,89.1,87.5,90.5,,delta,10 weeks,,,,,
6,Barda,Retrospective cohort,29Oct2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,7+,infection,infection,Israel,≥ 18 years,general pop,88.0,87.0,90.0,,delta,~7 weeks,,,,,
6,Barda,Retrospective cohort,29Oct2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,7+,symptomatic disease,symptomatic,Israel,≥ 18 years,general pop,91.0,89.0,92.0,,delta,~7 weeks,,,,,
6,Barda,Retrospective cohort,29Oct2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,7+,hospitalization,severe,Israel,≥ 18 years,general pop,93.0,88.0,97.0,,delta,~7 weeks,,,,,
6,Barda,Retrospective cohort,29Oct2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,7+,severe disease,severe,Israel,≥ 18 years,general pop,92.0,82.0,97.0,,delta,~7 weeks,,,,,
6,Barda,Retrospective cohort,29Oct2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,7+,death,death,Israel,≥ 18 years,general pop,81.0,59.0,97.0,,delta,~7 weeks,,,,,
7,Andrews,Test-negative case-control,17Dec2021,BNT162b2 (Pfizer),Pfizer,included,complete vaccination with 2 doses ≥140 days prior,14+,symptomatic disease,symptomatic,England,≥ 50 years,≥ 50 years,84.5,83.7,85.3,,delta,~7.5 weeks,,,,,
7,Andrews,Test-negative case-control,17Dec2021,AZD1222 (AstraZeneca),Pfizer,included,complete vaccination with 2 doses ≥140 days prior,14+,symptomatic disease,symptomatic,England,≥ 50 years,≥ 50 years,89.1,88.3,89.9,,delta,~7.5 weeks,,,,,
7,Andrews,Test-negative case-control,17Dec2021,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,14+,symptomatic disease,symptomatic,England,≥ 50 years,≥ 50 years,94.3,93.9,94.6,,delta,~7.5 weeks,,,,,
7,Andrews,Test-negative case-control,17Dec2021,AZD1222 (AstraZeneca),Pfizer,included,unvaccinated individuals,14+,symptomatic disease,symptomatic,England,≥ 50 years,≥ 50 years,93.8,93.3,94.3,,delta,~7.5 weeks,,,,,
8,Sharma,Matched retrospective cohort,30Nov2021,BNT162b2 (Pfizer),Pfizer,included,complete vaccination with 2 doses ≥180 days prior,0+,infection,infection,USA,veterans,veterans,45.7,37.9,52.5,,delta,~7 weeks,,,,,
8,Sharma,Matched retrospective cohort,30Nov2021,BNT162b2 (Pfizer),Pfizer,included,complete vaccination with 2 doses ≥180 days prior,0+,hospitalization,severe,USA,veterans,veterans,44.8,26.6,58.4,,delta,~7 weeks,,,,,
8,Sharma,Matched retrospective cohort,30Nov2021,mRNA-1273 (Moderna),Moderna,included,complete vaccination with 2 doses ≥180 days prior,0+,infection,infection,USA,veterans,veterans,46.6,36.4,55.3,,delta,~7 weeks,,,,,
8,Sharma,Matched retrospective cohort,30Nov2021,mRNA-1273 (Moderna),Moderna,included,complete vaccination with 2 doses ≥180 days prior,0+,hospitalization,severe,USA,veterans,veterans,50.0,26.2,66.1,,delta,~7 weeks,,,,,
9,Goldberg,Retrospective cohort,05Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,12+,infection,infection,Israel,16-39 years,16-39 years,91.0,90.1,91.3,,delta,~8 weeks,,,,,
9,Goldberg,Retrospective cohort,05Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,12+,infection,infection,Israel,40-59 years,40-59 years,89.0,88.3,89.3,,delta,~8 weeks,,,,,
9,Goldberg,Retrospective cohort,05Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,12+,infection,infection,Israel,≥ 60 years,≥ 60 years,82.2,81.5,82.8,,delta,~8 weeks,,,,,
10,Arbel,Prospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,14+,death,death,Israel,≥ 18 years,general pop,33.0,26.0,40.0,,delta,~8 weeks,,,,,
10,Arbel,Prospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,54+,death,death,Israel,≥ 18 years,general pop,91.0,87.0,93.0,,delta,~8 weeks,,,,,
10,Arbel,Prospective cohort,08Dec2021,BNT162b2 (Pfizer),Pfizer,excluded,complete vaccination with 2 doses ≥5 months prior,54+,infection,infection,Israel,≥ 18 years,general pop,83.0,82.0,94.0,,delta,~8 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,68.7,67.9,69.5,omicron,omicron,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),Pfizer,included,unvaccinated individuals,10+ weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,50.1,49.0,51.2,omicron,omicron,~14 weeks,,,,,
11,Andrews,Test-negative case-control,14Jan2022,BNT162b2 (Pfizer),Moderna,included,unvaccinated individuals,2-4 weeks,symptomatic disease,symptomatic,England,≥ 18 years,general pop,74.7,73.7,75.7,omicron,omicron,~14 weeks,,,,,
