study ID,first author,vaccine,dose_number,dose,days_since_first_dose,outcome_detail,outcome_category,country,population_detail,population_category,VE,LCL,UCL,variant_sequenced,variant_context,max duration follow-up,dose interval,notes,
1,Amit,Pfizer,1+,1+,28,infection ,infection,Israel ,HCW,HCW,75,72,84,,original & alpha,,,,
1,Amit,Pfizer,1+,1+,28,symptomatic disease,symptomatic,Israel ,HCW,HCW,85,71,92,,original & alpha,,,,
2,"Immunisation and Countermeasures Division, National Infection Service, PHE",Pfizer,1,1,>28,symptomatic disease,symptomatic,UK,> 80 years,> 80 years,57,48,63,,alpha,,,,
2,"Immunisation and Countermeasures Division, National Infection Service, PHE",Pfizer,2,final,7,symptomatic disease,symptomatic,UK,> 80 years,> 80 years,88,84,90,,alpha,,,,
3,Dagan,Pfizer,1,1,14-21,infection ,infection,Israel ,general pop,general pop,46,40,51,,original & alpha,,,,
3,Dagan,Pfizer,2,final,>7,infection ,infection,Israel ,general pop,general pop,92,88,95,,original & alpha,,,,
3,Dagan,Pfizer,1,1,14-21,symptomatic disease,symptomatic,Israel ,general pop,general pop,57,50,63,,original & alpha,,,,
3,Dagan,Pfizer,2,final,>7,symptomatic disease,symptomatic,Israel ,general pop,general pop,94,87,98,,original & alpha,,,,
3,Dagan,Pfizer,1,1,14-21,hospitalization,severe,Israel ,general pop,general pop,74,56,86,,original & alpha,,,,
3,Dagan,Pfizer,2,final,>7,hospitalization,severe,Israel ,general pop,general pop,87,55,100,,original & alpha,,,,
3,Dagan,Pfizer,1,1,14-21,severe disease,severe,Israel ,general pop,general pop,62,39,80,,original & alpha,,,,
3,Dagan,Pfizer,2,final,>7,severe disease,severe,Israel ,general pop,general pop,92,75,100,,original & alpha,,,,
4,Hyams,Pfizer,1,1,>14,hospitalization,severe,UK, > 80 years, > 80 years,79,47,93,,alpha,,,,
4,Hyams,AZD1222 (AstraZeneca),1,1,>14,hospitalization,severe,UK, > 80 years, > 80 years,80,36,95,,alpha,,,,
5,Mousten-Helms,Pfizer,1,1,>14,infection ,infection,Denmark,LTCF residents,LTCF residents,21,-11,44,,original & alpha,,,,
5,Mousten-Helms,Pfizer,2,final,>7,infection ,infection,Denmark,LTCF residents,LTCF residents,64,14,84,,original & alpha,,,,
5,Mousten-Helms,Pfizer,1,1,>14,infection ,infection,Denmark,LTCF staff,LTCF staff,17,4,28,,original & alpha,,,,
5,Mousten-Helms,Pfizer,2,final,>7,infection ,infection,Denmark,LTCF staff,LTCF staff,90,82,95,,original & alpha,,,,
6,Tande,Pfizer,1+,1+,10,asymptomatic infection,asymptomatic,USA,pre-surgical hospital patients,pre-surgical hospital patients,79,63,88,,original,,,,
6,Tande,Pfizer,2,final,>0,asymptomatic infection,asymptomatic,USA,pre-surgical hospital patients,pre-surgical hospital patients,80,56,91,,original,,,,
6,Tande,Pfizer,1,1,>10,asymptomatic infection,asymptomatic,USA,pre-surgical hospital patients,pre-surgical hospital patients,79,62,89,,original,,,,
6,Tande,Pfizer,2,final,>0,asymptomatic infection,asymptomatic,USA,pre-surgical hospital patients,pre-surgical hospital patients,80,56,91,,original,,,,
7,Britton,Pfizer,1+,1+,21,infection ,infection,USA,LTCF residents,LTCF residents,63,33,79,,original,,,,
7,Britton,Pfizer,1+,1+,21,infection ,infection,USA,LTCF residents,LTCF residents,60,30,77,,original,,,,
8,Yelin,Pfizer,1+,1+,35,infection ,infection,Israel ,general pop,general pop,91,89,93,,alpha,,,,
8,Yelin,Pfizer,1+,1+,35,symptomatic disease,symptomatic,Israel ,general pop,general pop,99,95,99,,alpha,,,,
9,Public Health England,Pfizer,1,1,>28,symptomatic disease,symptomatic,UK,> 70 years,> 70 years,58,49,65,,alpha,,,,
9,Public Health England,AZD1222 (AstraZeneca),1,1,>35,symptomatic disease,symptomatic,UK,> 70 years,> 70 years,58,38,72,,alpha,,,,
9,Public Health England,Pfizer,1,1,>14,hospitalization,severe,UK,> 70 years,> 70 years,42,32,51,,alpha,,,,
9,Public Health England,Pfizer,1,1,>14,death,death,UK,> 70 years,> 70 years,54,41,64,,alpha,,,,
9,Public Health England,AZD1222 (AstraZeneca),1,1,14-21,hospitalization,severe,UK,> 70 years,> 70 years,35,4,56,,alpha,,,,
10,Shrotri,Pfizer,1,1,35-48,infection ,infection,UK,LTCF residents,LTCF residents,65,29,83,,original & alpha,,,,
10,Shrotri,AZD1222 (AstraZeneca),1,1,35-48,infection ,infection,UK,LTCF residents,LTCF residents,68,34,85,,original & alpha,,,,
11,Thompson,Pfizer,1,1,>14,infection ,infection,USA,HCW,HCW,80,59,90,,original,,,,
11,Thompson,Pfizer,2,final,>14,infection ,infection,USA,HCW,HCW,90,68,97,,original,,,,
12,Bouton,Pfizer,1+,1+,14,infection ,infection,USA,HCW,HCW,82,68,90,,original,,,,
13,Regev-Yochay,Pfizer,2,final,>11,asymptomatic infection,asymptomatic,Israel ,HCW,HCW,65,45,79,,alpha,,,,
13,Regev-Yochay,Pfizer,2,final,>11,asymptomatic infection (presumed infectious ct<30),asymptomatic,Israel ,HCW,HCW,70,43,84,,alpha,,,,
13,Regev-Yochay,Pfizer,2,final,>11,symptomatic disease,symptomatic,Israel ,HCW,HCW,90,84,94,,alpha,,,,
13,Regev-Yochay,Pfizer,2,final,>11,symptomatic disease  (presumed infectious ct<30),symptomatic,Israel ,HCW,HCW,88,80,94,,alpha,,,,
14,Andrejko,Pfizer,1,1,≥15,infection ,infection,USA,general pop,general pop,66.9,28.7,84.6,,B.1.427/ B.1.429 & alpha,,,,
14,Andrejko,Pfizer,2,final,≥15,infection ,infection,USA,general pop,general pop,87.4,77.2,93.1,,B.1.427/ B.1.429 & alpha,,,,
14,Andrejko,Pfizer,2,final,≥15,asymptomatic infection,asymptomatic,USA,general pop,general pop,68.3,27.9,85.7,,B.1.427/ B.1.429 & alpha,,,,
14,Andrejko,Pfizer,2,final,≥15,symptomatic disease,symptomatic,USA,general pop,general pop,91.3,79.3,96.3,,B.1.427/ B.1.429 & alpha,,,,
14,Andrejko,Pfizer,2,final,≥15,hospitalization,severe,USA,general pop,general pop,100,,,,B.1.427/ B.1.429 & alpha,,,,
14,Andrejko,Pfizer,2,final,≥15,infection ,infection,USA,general pop,general pop,87,68.6,94.6,,B.1.427/ B.1.429 & alpha,,,,
14,Andrejko,Moderna,2,final,≥15,infection ,infection,USA,general pop,general pop,86.2,68.4,93.9,,B.1.427/ B.1.429 & alpha,,,,
15,Glampson,Pfizer,1,1,22-28,infection ,infection,UK,≥ 16 years,general pop,78,73,82,,alpha,,,,
15,Glampson,AZD1222 (AstraZeneca),1,1,22-28,infection ,infection,UK,≥ 16 years,general pop,74,65,81,,alpha,,,,
16,Bjork,Pfizer,1,1,>14,infection ,infection,Sweden,general pop,general pop,42,14,63,,original & alpha,,,,
16,Bjork,Pfizer,2,final,>7,infection ,infection,Sweden,general pop,general pop,86,72,94,,original & alpha,,,,
17,Mason,Pfizer,1,1,21-27,infection ,infection,UK,80-83 years,80-83 years,55,40,66,,alpha,,,,
17,Mason,Pfizer,2,final,35-41,infection ,infection,UK,80-83 years,80-83 years,70,55,80,,alpha,,,,
17,Mason,Pfizer,1,1,21-27,hospitalization,severe,UK,80-83 years,80-83 years,50,19,69,,alpha,,,,
17,Mason,Pfizer,2,final,35-41,hospitalization,severe,UK,80-83 years,80-83 years,75,52,87,,alpha,,,,
17,Mason,Pfizer,1,1,35-41,ED or UC visits,symptomatic,UK,80-83 years,80-83 years,58,31,74,,alpha,,,,
17,Mason,Pfizer,2,final,35-41,ED or UC visits,symptomatic,UK,80-83 years,80-83 years,79,60,90,,alpha,,,,
18,Hall,Pfizer,1,1,>21,infection ,infection,UK,HCW,HCW,72,58,86,,alpha,,,,
18,Hall,Pfizer,2,final,>7,infection ,infection,UK,HCW,HCW,86,76,97,,alpha,,,,
19,Vasileiou,Pfizer,1,1,28-34,hospitalization,severe,UK,general pop,general pop,91,85,94,,original & alpha,,,,
19,Vasileiou,AZD1222 (AstraZeneca),1,1,28-34,hospitalization,severe,UK,general pop,general pop,88,75,94,,original & alpha,,,,
20,Pritchard,Pfizer,1,1,>21,infection ,infection,UK,≥ 16 years,general pop,66,60,71,,original & alpha,,,,
20,Pritchard,Pfizer,2,final,>0,infection ,infection,UK,≥ 16 years,general pop,80,74,85,,original & alpha,,,,
20,Pritchard,Pfizer,1,1,>21,symptomatic disease,symptomatic,UK,≥ 16 years,general pop,78,72,83,,original & alpha,,,,
20,Pritchard,Pfizer,2,final,>0,symptomatic disease,symptomatic,UK,≥ 16 years,general pop,95,91,98,,original & alpha,,,,
20,Pritchard,AZD1222 (AstraZeneca),1,1,>21,infection ,infection,UK,≥ 16 years,general pop,61,54,68,,original & alpha,,,,
20,Pritchard,AZD1222 (AstraZeneca),2,final,>0,infection ,infection,UK,≥ 16 years,general pop,79,65,88,,original & alpha,,,,
20,Pritchard,AZD1222 (AstraZeneca),1,1,>21,symptomatic disease,symptomatic,UK,≥ 16 years,general pop,71,62,78,,original & alpha,,,,
20,Pritchard,AZD1222 (AstraZeneca),2,final,>0,symptomatic disease,symptomatic,UK,general pop,general pop,92,78,97,,original & alpha,,,,
21,Goldberg,Pfizer,1+,1+,28,infection ,infection,Israel ,≥ 16 years,general pop,65.9,65.4,66.4,,alpha,,,,
21,Goldberg,Pfizer,2,final,14+,infection ,infection,Israel ,≥ 16 years,general pop,94.5,94.3,94.7,,alpha,~8 weeks,,,
21,Goldberg,Pfizer,1+,1+,28,hospitalization,severe,Israel ,≥ 16 years,general pop,74.9,73.5,76.3,,alpha,,,,
21,Goldberg,Pfizer,2,final,14+,hospitalization,severe,Israel ,≥ 16 years,general pop,95.8,95.2,96.2,,alpha,~8 weeks,,,
21,Goldberg,Pfizer,1+,1+,28,severe disease,severe,Israel ,≥ 16 years,general pop,72.1,69.9,74.1,,alpha,,,,
